window id,detected state
1,IDLE
2,VEHICLE
3,VEHICLE
4,IDLE
5,IDLE
6,IDLE
7,IDLE
8,IDLE
9,IDLE
10,IDLE
11,VEHICLE
12,VEHICLE
13,VEHICLE
14,VEHICLE
15,VEHICLE
16,VEHICLE
17,VEHICLE
18,VEHICLE
19,VEHICLE
20,IDLE
21,VEHICLE
22,VEHICLE
23,VEHICLE
24,VEHICLE
25,VEHICLE
26,VEHICLE
27,VEHICLE
28,IDLE
29,IDLE
30,VEHICLE
31,VEHICLE
32,VEHICLE
33,VEHICLE
34,VEHICLE
35,VEHICLE
36,VEHICLE
37,VEHICLE
38,VEHICLE
39,VEHICLE
40,VEHICLE
41,VEHICLE
42,VEHICLE
43,VEHICLE
44,VEHICLE
45,VEHICLE
46,VEHICLE
47,VEHICLE
48,VEHICLE
49,VEHICLE
50,VEHICLE
51,VEHICLE
52,VEHICLE
53,VEHICLE
54,VEHICLE
55,VEHICLE
56,WALKING
57,WALKING
58,WALKING
59,WALKING
60,WALKING
61,WALKING
62,WALKING
63,WALKING
